PlayerId,MLBAMID,Name,Team,Name,Team,Throws,Age,G,IP,AVG,wOBA,WHIP,BABIP,ERA,xERA,FIP,xFIP,SIERA,HLD,SV,pLI,gmLI,Clutch,K/9,BB/9,K%,BB%,K-BB%,Soft%,Med%,HardHit%,Barrel%,CSW%,Stuff+,Location+,Pitching+,Fantasy,WAR,$,NameASCII,PlayerId,MLBAMID
19874,656412,Alex Faedo,DET,Alex Faedo,DET,R,28,31,49,0.2324324324,,1.265306319,0.2575757576,3.857143458,,5.044031091,4.168284259,4.04879501,7,0,1.025647879,1.154987097,-0.8320556074,8.081633911,3.489796462,0.21359223,0.09223301,0.12135922,0.13475177,0.53900709,0.35460993,0.06382979,0.29008568,95.86418719,99.968867,95.37100985,,-0.5314952731,,Alex Faedo,19874,656412
19883,656638,Alex Lange,DET,Alex Lange,DET,R,28,21,18.2,0.2253521127,,1.767857564,0.32,4.339286749,4.97,3.970051398,5.185058443,5.220963764,1,2,0.9837124944,1.398561954,0.08307823517,10.12500241,8.196430526,0.23333333,0.18888889,0.04444445,0.16,0.56,0.52,0.02,0.26790451,100.63552,90.60005333,96.27333333,,0.06525642425,,Alex Lange,19883,656638
25007,681911,Alex Vesia,LAD,Alex Vesia,LAD,L,28,67,66.1,0.1441048035,,0.9949750651,0.1925925926,1.763819434,2.78,3.452911994,4.086933318,3.461899606,13,5,1.140189886,1.272325397,-0.4965601388,11.80402236,4.477387793,0.33079848,0.12547529,0.20532319,0.22142857,0.54285714,0.34507042,0.11971831,0.27967626,114.0763636,96.58207273,108.6638,,1.072764754,,Alex Vesia,25007,681911
18333,622065,Alex Young,- - -,Alex Young,- - -,L,30,17,15.2,0.2459016393,,1.404255643,0.2954545455,2.872341088,4.28,4.251586412,4.232701912,3.999605163,1,0,0.3489913187,0.4852352984,0.4341595456,8.617023265,4.021277524,0.22058824,0.10294118,0.11764706,0.17391304,0.47826087,0.47826087,0.06521739,0.29477612,91.1279927,100.8344757,93.17689965,,0.0007060617208,,Alex Young,18333,622065
21132,664747,Alexis Díaz,CIN,Alexis Díaz,CIN,R,27,60,56.1,0.2048780488,,1.295858105,0.25,3.994083201,3.7,4.568846769,5.063058442,4.475448428,0,28,1.585338354,1.474466681,0.1861359573,8.786983042,4.952663169,0.22727273,0.12809917,0.09917355,0.18,0.59333333,0.38,0.06666667,0.26202661,92.25909928,103.5783419,97.41138178,,0.2584361434,,Alexis Diaz,21132,664747
26108,669467,Andre Pallante,STL,Andre Pallante,STL,R,25,9,10,0.3181818182,,1.900000362,0.3513513514,6.300001202,,4.766480083,4.676086791,4.357323841,1,0,0.4776185155,0.7489110827,-0.638362761,5.40000103,4.500000858,0.12244898,0.10204082,0.02040816,0.28947368,0.34210526,0.52631579,0.07894737,0.2393617,102.3677005,84.40385027,89.02203209,,-0.06862735748,,Andre Pallante,26108,669467
20373,662253,Andrés Muñoz,SEA,Andrés Muñoz,SEA,R,25,60,59.1,0.1527093596,,0.9606743014,0.2083333333,2.123595824,2.94,3.351873065,2.980147914,2.941717658,6,22,1.927250981,2.087876558,-0.4907549711,11.67977703,3.943820816,0.33189655,0.11206897,0.21982759,0.20634921,0.5,0.33333333,0.08730159,0.34348739,113.6322187,90.69821241,102.7118402,,0.652664125,,Andres Munoz,20373,662253
12988,605177,Andrew Chafin,- - -,Andrew Chafin,- - -,L,34,62,56.1,0.2429906542,,1.473373114,0.3381294964,3.514793693,3.64,3.539260928,3.942157247,3.715204862,12,1,1.236325455,1.296825834,0.2898329401,11.18343448,4.95266384,0.28455285,0.12601626,0.15853659,0.14583333,0.59722222,0.34027778,0.0625,0.28748707,97.26380772,91.10991819,92.38871345,,0.4218628407,,Andrew Chafin,12988,605177
12828,552640,Andrew Kittredge,STL,Andrew Kittredge,STL,R,34,74,70.2,0.2247191011,,1.132075757,0.2631578947,2.801887498,3.97,3.958932808,3.638450607,3.502086879,37,1,1.712723017,1.669716239,0.4437999938,8.533021018,2.547170453,0.23344948,0.06968641,0.16376307,0.16080402,0.55778894,0.395,0.085,0.29320388,99.46218537,112.4773268,110.9088585,,0.3133000433,,Andrew Kittredge,12828,552640
25942,677053,Andrew Nardi,MIA,Andrew Nardi,MIA,L,25,59,49.2,0.2303664921,,1.248322403,0.3245614035,5.073826543,2.76,3.327553637,3.352369335,2.769727582,15,0,1.217954278,1.356057644,-0.1051671433,12.68456636,3.261745635,0.33333333,0.08571429,0.24761905,0.17355372,0.53719008,0.34710744,0.07438017,0.27924945,106.4511283,104.0637389,109.0722566,,0.7084938288,,Andrew Nardi,25942,677053
